@relation MyRelation

@attribute car_spec {E}
@attribute prec1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute prec2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv3_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute classe {ajout_y,supp_esp}

@data
$,m,S,-,-,-,A,E,m,$,ajout_y
$,l,g,-,-,-,n,s,l,$,ajout_y
$,l,g,-,-,-,t,s,l,$,ajout_y
$,l,g,-,-,-,y,s,l,$,ajout_y
$,t,y,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,l,g,-,-,-,A,s,l,$,ajout_y
$,t,l,-,-,-,A,s,t,$,ajout_y
$,r,q,-,-,-,n,s,r,$,ajout_y
$,r,q,-,-,-,t,s,r,$,ajout_y
$,r,q,-,-,-,y,s,r,$,ajout_y
$,t,y,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,r,q,-,-,-,A,s,r,$,ajout_y
$,t,r,-,-,-,A,s,t,$,ajout_y
$,q,H,-,-,-,n,s,q,$,ajout_y
$,q,H,-,-,-,t,s,q,$,ajout_y
$,q,H,-,-,-,y,s,q,$,ajout_y
$,t,y,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,q,H,-,-,-,A,s,q,$,ajout_y
$,t,q,-,-,-,A,s,t,$,ajout_y
$,b,r,-,-,-,n,s,b,$,ajout_y
$,b,r,-,-,-,t,s,b,$,ajout_y
$,b,r,-,-,-,y,s,b,$,ajout_y
$,t,b,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,b,r,-,-,-,A,s,b,$,ajout_y
$,E,j,-,-,-,n,s,E,$,ajout_y
$,E,j,-,-,-,t,s,E,$,ajout_y
$,E,j,-,-,-,y,s,E,$,ajout_y
$,t,E,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,E,j,-,-,-,A,s,E,$,ajout_y
$,Z,f,-,-,-,n,s,Z,$,ajout_y
$,Z,f,-,-,-,t,s,Z,$,ajout_y
$,Z,f,-,-,-,y,s,Z,$,ajout_y
$,t,Z,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,Z,f,-,-,-,A,s,Z,$,ajout_y
$,r,s,-,-,-,n,s,r,$,ajout_y
$,r,s,-,-,-,t,s,r,$,ajout_y
$,r,s,-,-,-,y,s,r,$,ajout_y
$,t,r,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,r,s,-,-,-,A,s,r,$,ajout_y
$,h,r,-,-,-,n,s,h,$,ajout_y
$,h,r,-,-,-,t,s,h,$,ajout_y
$,h,r,-,-,-,y,s,h,$,ajout_y
$,t,h,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,h,r,-,-,-,A,s,h,$,ajout_y
$,l,h,-,-,-,n,s,l,$,ajout_y
$,l,h,-,-,-,t,s,l,$,ajout_y
$,l,h,-,-,-,y,s,l,$,ajout_y
$,t,l,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,l,h,-,-,-,A,s,l,$,ajout_y
$,Y,H,-,-,-,n,s,Y,$,ajout_y
$,w,A,-,-,-,n,s,w,$,ajout_y
$,Y,H,-,-,-,t,s,Y,$,ajout_y
$,w,A,-,-,-,t,s,w,$,ajout_y
$,Y,H,-,-,-,y,s,Y,$,ajout_y
$,w,A,-,-,-,y,s,w,$,ajout_y
$,t,y,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,Y,H,-,-,-,A,s,Y,$,ajout_y
$,t,A,-,-,-,A,s,t,$,ajout_y
$,w,A,-,-,-,A,s,w,$,ajout_y
$,Y,l,-,-,-,n,s,Y,$,ajout_y
$,w,A,-,-,-,n,s,w,$,ajout_y
$,Y,l,-,-,-,t,s,Y,$,ajout_y
$,w,A,-,-,-,t,s,w,$,ajout_y
$,Y,l,-,-,-,y,s,Y,$,ajout_y
$,w,A,-,-,-,y,s,w,$,ajout_y
$,t,y,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,Y,l,-,-,-,A,s,Y,$,ajout_y
$,t,A,-,-,-,A,s,t,$,ajout_y
$,w,A,-,-,-,A,s,w,$,ajout_y
$,Y,E,-,-,-,n,s,Y,$,ajout_y
$,w,A,-,-,-,n,s,w,$,ajout_y
$,Y,E,-,-,-,t,s,Y,$,ajout_y
$,w,A,-,-,-,t,s,w,$,ajout_y
$,Y,E,-,-,-,y,s,Y,$,ajout_y
$,w,A,-,-,-,y,s,w,$,ajout_y
$,t,y,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,Y,E,-,-,-,A,s,Y,$,ajout_y
$,t,A,-,-,-,A,s,t,$,ajout_y
$,w,A,-,-,-,A,s,w,$,ajout_y
$,Y,n,-,-,-,n,s,Y,$,ajout_y
$,w,A,-,-,-,n,s,w,$,ajout_y
$,Y,n,-,-,-,t,s,Y,$,ajout_y
$,w,A,-,-,-,t,s,w,$,ajout_y
$,Y,n,-,-,-,y,s,Y,$,ajout_y
$,w,A,-,-,-,y,s,w,$,ajout_y
$,t,y,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,Y,n,-,-,-,A,s,Y,$,ajout_y
$,t,A,-,-,-,A,s,t,$,ajout_y
$,w,A,-,-,-,A,s,w,$,ajout_y
$,d,A,-,-,-,n,s,d,$,ajout_y
$,d,A,-,-,-,t,s,d,$,ajout_y
$,d,A,-,-,-,y,s,d,$,ajout_y
$,t,d,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,d,A,-,-,-,A,s,d,$,ajout_y
$,t,d,-,-,-,A,s,t,$,ajout_y
$,Y,n,-,-,-,n,s,Y,$,ajout_y
$,w,A,-,-,-,n,s,w,$,ajout_y
$,Y,n,-,-,-,t,s,Y,$,ajout_y
$,w,A,-,-,-,t,s,w,$,ajout_y
$,Y,n,-,-,-,y,s,Y,$,ajout_y
$,w,A,-,-,-,y,s,w,$,ajout_y
$,t,y,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,Y,n,-,-,-,A,s,Y,$,ajout_y
$,t,A,-,-,-,A,s,t,$,ajout_y
$,w,A,-,-,-,A,s,w,$,ajout_y
$,l,j,-,-,-,n,s,l,$,ajout_y
$,l,j,-,-,-,t,s,l,$,ajout_y
$,l,j,-,-,-,y,s,l,$,ajout_y
$,t,l,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,l,j,-,-,-,A,s,l,$,ajout_y
$,l,m,-,-,-,n,s,l,$,ajout_y
$,l,m,-,-,-,t,s,l,$,ajout_y
$,l,m,-,-,-,y,s,l,$,ajout_y
$,t,l,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,l,m,-,-,-,A,s,l,$,ajout_y
$,j,t,-,-,-,n,s,j,$,ajout_y
$,j,t,-,-,-,t,s,j,$,ajout_y
$,j,t,-,-,-,y,s,j,$,ajout_y
$,t,j,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,j,t,-,-,-,A,s,j,$,ajout_y
$,m,l,-,-,-,n,s,m,$,ajout_y
$,m,l,-,-,-,t,s,m,$,ajout_y
$,m,l,-,-,-,y,s,m,$,ajout_y
$,t,m,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,m,l,-,-,-,A,s,m,$,ajout_y
$,t,s,h,d,$,n,s,d,$,ajout_y
$,t,s,h,d,$,t,s,d,$,ajout_y
$,t,s,h,d,$,y,s,d,$,ajout_y
$,t,s,h,d,t,A,s,t,$,ajout_y
$,t,s,h,d,n,A,s,A,$,ajout_y
$,t,s,h,d,$,A,s,d,$,ajout_y
$,b,E,-,-,-,n,s,b,$,ajout_y
$,b,E,-,-,-,t,s,b,$,ajout_y
$,b,E,-,-,-,y,s,b,$,ajout_y
$,t,b,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,b,E,-,-,-,A,s,b,$,ajout_y
$,d,E,-,-,-,n,s,d,$,ajout_y
$,d,E,-,-,-,t,s,d,$,ajout_y
$,d,E,-,-,-,y,s,d,$,ajout_y
$,t,d,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,d,E,-,-,-,A,s,d,$,ajout_y
$,r,m,-,-,-,n,s,r,$,ajout_y
$,r,m,-,-,-,t,s,r,$,ajout_y
$,r,m,-,-,-,y,s,r,$,ajout_y
$,t,r,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,r,m,-,-,-,A,s,r,$,ajout_y
$,r,f,-,-,-,n,s,r,$,ajout_y
$,r,f,-,-,-,t,s,r,$,ajout_y
$,r,f,-,-,-,y,s,r,$,ajout_y
$,t,r,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,r,f,-,-,-,A,s,r,$,ajout_y
$,l,b,-,-,-,n,s,l,$,ajout_y
$,l,b,-,-,-,t,s,l,$,ajout_y
$,l,b,-,-,-,y,s,l,$,ajout_y
$,t,l,-,-,-,A,s,t,$,ajout_y
$,A,n,-,-,-,A,s,A,$,ajout_y
$,l,b,-,-,-,A,s,l,$,ajout_y
$,w,H,-,-,-,n,k,w,$,ajout_y
$,w,H,-,-,-,t,k,w,$,ajout_y
$,w,t,-,-,-,k,H,w,$,ajout_y
$,w,H,-,-,-,k,H,w,$,ajout_y
$,w,H,-,-,-,k,H,w,$,ajout_y
$,w,S,-,-,-,n,g,w,$,ajout_y
$,w,S,-,-,-,t,g,w,$,ajout_y
$,w,S,-,-,-,y,g,w,$,ajout_y
$,w,t,-,-,-,g,S,w,$,ajout_y
$,w,S,-,-,-,g,S,w,$,ajout_y
$,w,S,-,-,-,g,S,w,$,ajout_y
$,w,l,-,-,-,n,T,w,$,ajout_y
$,w,l,-,-,-,t,T,w,$,ajout_y
$,w,l,-,-,-,y,T,w,$,ajout_y
$,w,t,-,-,-,T,l,w,$,ajout_y
$,w,l,-,-,-,T,l,w,$,ajout_y
$,w,l,-,-,-,T,l,w,$,ajout_y
$,g,n,w,$,-,n,g,w,$,ajout_y
$,g,t,w,$,-,t,g,w,$,ajout_y
$,g,y,w,$,-,y,g,w,$,ajout_y
$,g,-,y,t,w,g,$,w,$,ajout_y
$,g,-,w,$,-,g,$,w,$,ajout_y
$,g,-,w,$,-,g,$,w,$,ajout_y
$,n,-,k,w,$,n,$,w,$,ajout_y
$,t,-,k,w,$,t,$,w,$,ajout_y
$,y,-,k,w,$,y,$,w,$,ajout_y
$,-,-,k,y,t,$,k,w,$,ajout_y
$,-,-,k,w,$,$,k,w,$,ajout_y
$,-,-,k,w,$,$,k,w,$,ajout_y
$,w,f,-,-,-,n,T,w,$,ajout_y
$,w,f,-,-,-,t,T,w,$,ajout_y
$,w,f,-,-,-,y,T,w,$,ajout_y
$,w,t,-,-,-,T,f,w,$,ajout_y
$,w,f,-,-,-,T,f,w,$,ajout_y
$,w,f,-,-,-,T,f,w,$,ajout_y
$,w,z,-,-,-,n,l,w,$,ajout_y
$,w,z,-,-,-,t,l,w,$,ajout_y
$,w,z,-,-,-,y,l,w,$,ajout_y
$,w,t,-,-,-,l,z,w,$,ajout_y
$,w,z,-,-,-,l,z,w,$,ajout_y
$,w,z,-,-,-,l,z,w,$,ajout_y
$,w,r,-,-,-,n,D,w,$,ajout_y
$,w,r,-,-,-,t,D,w,$,ajout_y
$,w,r,-,-,-,y,D,w,$,ajout_y
$,w,r,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,D,r,w,$,ajout_y
$,w,r,-,-,-,D,r,w,$,ajout_y
$,w,r,-,-,-,D,r,w,$,ajout_y
$,w,q,-,-,-,n,d,w,$,ajout_y
$,w,q,-,-,-,t,d,w,$,ajout_y
$,w,q,-,-,-,y,d,w,$,ajout_y
$,w,q,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,d,q,w,$,ajout_y
$,w,q,-,-,-,d,q,w,$,ajout_y
$,w,q,-,-,-,d,q,w,$,ajout_y
$,n,-,q,w,$,n,$,w,$,ajout_y
$,t,-,q,w,$,t,$,w,$,ajout_y
$,y,-,q,w,$,y,$,w,$,ajout_y
$,t,y,q,w,$,y,t,w,$,ajout_y
$,-,-,q,y,t,$,q,w,$,ajout_y
$,-,-,q,w,$,$,q,w,$,ajout_y
$,-,-,q,w,$,$,q,w,$,ajout_y
$,w,S,-,-,-,n,q,w,$,ajout_y
$,w,S,-,-,-,t,q,w,$,ajout_y
$,w,S,-,-,-,y,q,w,$,ajout_y
$,w,S,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,q,S,w,$,ajout_y
$,w,S,-,-,-,q,S,w,$,ajout_y
$,w,S,-,-,-,q,S,w,$,ajout_y
$,r,n,w,$,-,n,r,w,$,ajout_y
$,r,t,w,$,-,t,r,w,$,ajout_y
$,r,y,w,$,-,y,r,w,$,ajout_y
$,r,t,w,$,-,y,t,w,$,ajout_y
$,r,-,y,t,w,r,$,w,$,ajout_y
$,r,-,w,$,-,r,$,w,$,ajout_y
$,r,-,w,$,-,r,$,w,$,ajout_y
$,w,k,-,-,-,n,f,w,$,ajout_y
$,w,k,-,-,-,t,f,w,$,ajout_y
$,w,k,-,-,-,y,f,w,$,ajout_y
$,w,k,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,f,k,w,$,ajout_y
$,w,k,-,-,-,f,k,w,$,ajout_y
$,w,k,-,-,-,f,k,w,$,ajout_y
$,w,S,-,-,-,n,m,w,$,ajout_y
$,w,S,-,-,-,t,m,w,$,ajout_y
$,w,S,-,-,-,y,m,w,$,ajout_y
$,w,S,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,m,S,w,$,ajout_y
$,w,S,-,-,-,m,S,w,$,ajout_y
$,w,S,-,-,-,m,S,w,$,ajout_y
$,w,b,-,-,-,n,S,w,$,ajout_y
$,w,b,-,-,-,t,S,w,$,ajout_y
$,w,b,-,-,-,y,S,w,$,ajout_y
$,w,b,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,S,b,w,$,ajout_y
$,w,b,-,-,-,S,b,w,$,ajout_y
$,w,b,-,-,-,S,b,w,$,ajout_y
$,w,T,-,-,-,n,H,w,$,ajout_y
$,w,T,-,-,-,t,H,w,$,ajout_y
$,w,T,-,-,-,y,H,w,$,ajout_y
$,w,T,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,H,T,w,$,ajout_y
$,w,T,-,-,-,H,T,w,$,ajout_y
$,w,T,-,-,-,H,T,w,$,ajout_y
$,n,-,w,f,w,n,$,w,$,ajout_y
$,t,-,w,f,w,t,$,w,$,ajout_y
$,y,-,w,f,w,y,$,w,$,ajout_y
$,t,y,A,f,w,y,t,w,$,ajout_y
$,-,-,f,t,w,$,f,w,$,ajout_y
$,-,-,A,f,w,$,A,w,$,ajout_y
$,t,-,A,f,w,t,$,w,$,ajout_y
$,-,-,w,f,w,$,w,w,$,ajout_y
$,w,q,-,-,-,n,s,w,$,ajout_y
$,w,q,-,-,-,t,s,w,$,ajout_y
$,w,q,-,-,-,y,s,w,$,ajout_y
$,w,q,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,s,q,w,$,ajout_y
$,w,q,-,-,-,s,A,w,$,ajout_y
$,w,q,-,-,-,t,s,w,$,ajout_y
$,w,q,-,-,-,s,w,w,$,ajout_y
$,w,m,-,-,-,n,E,w,$,ajout_y
$,w,m,-,-,-,t,E,w,$,ajout_y
$,w,m,-,-,-,y,E,w,$,ajout_y
$,w,m,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,E,m,w,$,ajout_y
$,w,m,-,-,-,E,A,w,$,ajout_y
$,w,m,-,-,-,t,E,w,$,ajout_y
$,w,m,-,-,-,E,w,w,$,ajout_y
$,w,l,-,-,-,n,q,w,$,ajout_y
$,w,l,-,-,-,t,q,w,$,ajout_y
$,w,l,-,-,-,y,q,w,$,ajout_y
$,w,l,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,q,l,w,$,ajout_y
$,w,l,-,-,-,q,A,w,$,ajout_y
$,w,l,-,-,-,t,q,w,$,ajout_y
$,w,l,-,-,-,q,w,w,$,ajout_y
$,w,m,-,-,-,n,q,w,$,ajout_y
$,w,m,-,-,-,y,q,w,$,ajout_y
$,w,m,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,q,m,w,$,ajout_y
$,w,m,-,-,-,q,A,w,$,ajout_y
$,w,m,-,-,-,t,q,w,$,ajout_y
$,w,m,-,-,-,q,w,w,$,ajout_y
$,w,m,-,-,-,n,s,w,$,ajout_y
$,w,m,-,-,-,t,s,w,$,ajout_y
$,w,m,-,-,-,y,s,w,$,ajout_y
$,w,m,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,s,m,w,$,ajout_y
$,w,m,-,-,-,s,A,w,$,ajout_y
$,w,m,-,-,-,t,s,w,$,ajout_y
$,w,m,-,-,-,s,w,w,$,ajout_y
$,w,n,-,-,-,n,x,w,$,ajout_y
$,w,n,-,-,-,t,x,w,$,ajout_y
$,w,n,-,-,-,y,x,w,$,ajout_y
$,w,n,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,x,n,w,$,ajout_y
$,w,n,-,-,-,x,A,w,$,ajout_y
$,w,n,-,-,-,t,x,w,$,ajout_y
$,w,n,-,-,-,x,w,w,$,ajout_y
$,w,q,-,-,-,n,*,w,$,ajout_y
$,w,q,-,-,-,t,*,w,$,ajout_y
$,w,q,-,-,-,y,*,w,$,ajout_y
$,w,q,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,*,q,w,$,ajout_y
$,w,q,-,-,-,*,A,w,$,ajout_y
$,w,q,-,-,-,t,*,w,$,ajout_y
$,w,q,-,-,-,*,w,w,$,ajout_y
$,w,d,-,-,-,n,q,w,$,ajout_y
$,w,d,-,-,-,t,q,w,$,ajout_y
$,w,d,-,-,-,y,q,w,$,ajout_y
$,w,d,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,q,d,w,$,ajout_y
$,w,d,-,-,-,q,A,w,$,ajout_y
$,w,d,-,-,-,t,q,w,$,ajout_y
$,w,d,-,-,-,q,w,w,$,ajout_y
$,w,r,-,-,-,y,d,w,$,ajout_y
$,w,r,-,-,-,d,A,w,$,ajout_y
$,w,b,-,-,-,y,*,w,$,ajout_y
$,w,b,-,-,-,*,A,w,$,ajout_y
$,w,H,-,-,-,y,f,w,$,ajout_y
$,w,H,-,-,-,f,A,w,$,ajout_y
$,w,E,-,-,-,n,r,w,$,ajout_y
$,w,E,-,-,-,t,r,w,$,ajout_y
$,w,E,-,-,-,y,r,w,$,ajout_y
$,w,t,-,-,-,r,j,w,$,ajout_y
$,w,E,-,-,-,r,j,w,$,ajout_y
$,w,E,-,-,-,>,r,w,$,ajout_y
$,w,T,-,-,-,n,h,w,$,ajout_y
$,w,T,-,-,-,t,h,w,$,ajout_y
$,w,T,-,-,-,y,h,w,$,ajout_y
$,w,t,-,-,-,h,b,w,$,ajout_y
$,w,T,-,-,-,h,b,w,$,ajout_y
$,w,T,-,-,-,>,h,w,$,ajout_y
$,w,S,-,-,-,n,H,w,$,ajout_y
$,w,S,-,-,-,t,H,w,$,ajout_y
$,w,S,-,-,-,y,H,w,$,ajout_y
$,w,t,-,-,-,H,r,w,$,ajout_y
$,w,S,-,-,-,H,r,w,$,ajout_y
$,w,S,-,-,-,>,H,w,$,ajout_y
$,w,f,-,-,-,n,E,w,$,ajout_y
$,w,f,-,-,-,t,E,w,$,ajout_y
$,w,f,-,-,-,y,E,w,$,ajout_y
$,w,t,-,-,-,E,r,w,$,ajout_y
$,w,f,-,-,-,E,r,w,$,ajout_y
$,w,f,-,-,-,>,E,w,$,ajout_y
$,w,r,-,-,-,n,H,w,$,ajout_y
$,w,r,-,-,-,t,H,w,$,ajout_y
$,w,r,-,-,-,y,H,w,$,ajout_y
$,w,t,-,-,-,H,D,w,$,ajout_y
$,w,r,-,-,-,H,D,w,$,ajout_y
$,w,r,-,-,-,>,H,w,$,ajout_y
$,w,b,-,-,-,n,h,w,$,ajout_y
$,w,b,-,-,-,t,h,w,$,ajout_y
$,w,b,-,-,-,y,h,w,$,ajout_y
$,w,t,-,-,-,h,r,w,$,ajout_y
$,w,b,-,-,-,h,r,w,$,ajout_y
$,w,b,-,-,-,>,h,w,$,ajout_y
$,w,E,-,-,-,n,q,w,$,ajout_y
$,w,E,-,-,-,t,q,w,$,ajout_y
$,w,E,-,-,-,y,q,w,$,ajout_y
$,w,t,-,-,-,q,n,w,$,ajout_y
$,w,E,-,-,-,q,n,w,$,ajout_y
$,w,E,-,-,-,>,q,w,$,ajout_y
$,w,r,-,-,-,n,E,w,$,ajout_y
$,w,r,-,-,-,t,E,w,$,ajout_y
$,w,r,-,-,-,y,E,w,$,ajout_y
$,w,t,-,-,-,E,v,w,$,ajout_y
$,w,r,-,-,-,E,v,w,$,ajout_y
$,w,r,-,-,-,>,E,w,$,ajout_y
$,w,r,-,-,-,n,k,w,$,ajout_y
$,w,r,-,-,-,t,k,w,$,ajout_y
$,w,r,-,-,-,y,k,w,$,ajout_y
$,w,t,-,-,-,k,f,w,$,ajout_y
$,w,r,-,-,-,k,f,w,$,ajout_y
$,w,r,-,-,-,>,k,w,$,ajout_y
$,w,d,-,-,-,n,q,w,$,ajout_y
$,w,d,-,-,-,t,q,w,$,ajout_y
$,w,d,-,-,-,y,q,w,$,ajout_y
$,w,t,-,-,-,q,E,w,$,ajout_y
$,w,d,-,-,-,q,E,w,$,ajout_y
$,w,d,-,-,-,>,q,w,$,ajout_y
$,w,E,-,-,-,n,r,w,$,ajout_y
$,w,E,-,-,-,t,r,w,$,ajout_y
$,w,E,-,-,-,y,r,w,$,ajout_y
$,w,E,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,r,D,w,$,ajout_y
$,w,E,-,-,-,r,D,w,$,ajout_y
$,w,E,-,-,-,>,r,w,$,ajout_y
$,w,q,-,-,-,n,E,w,$,ajout_y
$,w,q,-,-,-,t,E,w,$,ajout_y
$,w,q,-,-,-,y,E,w,$,ajout_y
$,w,q,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,E,t,w,$,ajout_y
$,w,q,-,-,-,E,t,w,$,ajout_y
$,w,q,-,-,-,>,E,w,$,ajout_y
$,w,r,-,-,-,n,q,w,$,ajout_y
$,w,r,-,-,-,t,q,w,$,ajout_y
$,w,r,-,-,-,y,q,w,$,ajout_y
$,w,r,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,q,h,w,$,ajout_y
$,w,r,-,-,-,q,h,w,$,ajout_y
$,w,r,-,-,-,>,q,w,$,ajout_y
$,E,n,q,w,$,n,E,w,$,ajout_y
$,E,t,q,w,$,t,E,w,$,ajout_y
$,E,y,q,w,$,y,E,w,$,ajout_y
$,E,t,q,w,$,y,t,w,$,ajout_y
$,E,-,q,t,w,E,$,w,$,ajout_y
$,E,-,q,w,$,E,$,w,$,ajout_y
$,E,>,q,w,$,>,E,w,$,ajout_y
$,w,r,-,-,-,n,H,w,$,ajout_y
$,w,r,-,-,-,t,H,w,$,ajout_y
$,w,r,-,-,-,y,H,w,$,ajout_y
$,w,r,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,H,S,w,$,ajout_y
$,w,r,-,-,-,H,S,w,$,ajout_y
$,w,r,-,-,-,>,H,w,$,ajout_y
$,w,q,-,-,-,n,x,w,$,ajout_y
$,w,q,-,-,-,t,x,w,$,ajout_y
$,w,q,-,-,-,y,x,w,$,ajout_y
$,w,q,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,x,n,w,$,ajout_y
$,w,q,-,-,-,x,n,w,$,ajout_y
$,w,q,-,-,-,>,x,w,$,ajout_y
$,w,S,-,-,-,n,E,w,$,ajout_y
$,w,S,-,-,-,t,E,w,$,ajout_y
$,w,S,-,-,-,y,E,w,$,ajout_y
$,w,S,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,E,f,w,$,ajout_y
$,w,S,-,-,-,E,f,w,$,ajout_y
$,w,S,-,-,-,>,E,w,$,ajout_y
$,w,q,-,-,-,n,H,w,$,ajout_y
$,w,q,-,-,-,t,H,w,$,ajout_y
$,w,q,-,-,-,y,H,w,$,ajout_y
$,w,q,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,H,r,w,$,ajout_y
$,w,q,-,-,-,H,r,w,$,ajout_y
$,w,q,-,-,-,>,H,w,$,ajout_y
$,w,m,-,-,-,n,q,w,$,ajout_y
$,w,m,-,-,-,t,q,w,$,ajout_y
$,w,m,-,-,-,y,q,w,$,ajout_y
$,w,m,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,q,s,w,$,ajout_y
$,w,m,-,-,-,q,s,w,$,ajout_y
$,w,m,-,-,-,>,q,w,$,ajout_y
$,w,f,-,-,-,y,t,w,$,ajout_y
$,w,q,-,-,-,n,x,w,$,ajout_y
$,w,q,-,-,-,t,x,w,$,ajout_y
$,w,q,-,-,-,y,x,w,$,ajout_y
$,w,q,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,x,l,w,$,ajout_y
$,w,q,-,-,-,x,l,w,$,ajout_y
$,w,q,-,-,-,>,x,w,$,ajout_y
$,w,f,-,-,-,n,x,w,$,ajout_y
$,w,f,-,-,-,t,x,w,$,ajout_y
$,w,f,-,-,-,y,x,w,$,ajout_y
